sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	collection_timestamp	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1906409		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	6_11 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	6_11 F2	adult	Mouse_F2	mouse gut metagenome	mouse	p29	UBERON:feces	UBERON:feces	0	11_06	Mouse_F	control	11/7/19	Mus musculus	none	Not applicable	36	MDUPHL_DAMG	36	none	FALSE	13132
13132.DMG1906461		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	300	10090	10_11 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_11 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p33	UBERON:feces	UBERON:feces	100	11_10	Mouse_A	carrier	11/7/19	Mus musculus	low	SC	40	MDUPHL_DAMG	40	low	FALSE	13132
13132.DMG1906398		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	6_11 C2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	6_11 C2	adult	Mouse_C2	mouse gut metagenome	mouse	p29	UBERON:feces	UBERON:feces	0	11_06	Mouse_C	carrier	11/7/19	Mus musculus	undetectable	OG	25	MDUPHL_DAMG	36	undetectable	FALSE	13132
13132.DMG1906390		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	5_11 F3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	5_11 F3	adult	Mouse_F3	mouse gut metagenome	mouse	p28	UBERON:feces	UBERON:feces	0	11_05	Mouse_F	control	11/7/19	Mus musculus	none	Not applicable	35	MDUPHL_DAMG	35	none	FALSE	13132
13132.DMG1906400		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	400	10090	6_11 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	6_11 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p29	UBERON:feces	UBERON:feces	880	11_06	Mouse_D	colonised	11/7/19	Mus musculus	low	SC	36	MDUPHL_DAMG	36	low	FALSE	13132
13132.DMG1906470		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	100	10090	11_11 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_11 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p34	UBERON:feces	UBERON:feces	33.33333333	11_11	Mouse_A	carrier	11/7/19	Mus musculus	low	SC	41	MDUPHL_DAMG	41	low	FALSE	13132
13132.DMG1906403		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	200	10090	6_11 D4	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	6_11 D4	adult	Mouse_D4	mouse gut metagenome	mouse	p29	UBERON:feces	UBERON:feces	880	11_06	Mouse_D	colonised	11/7/19	Mus musculus	low	SC	36	MDUPHL_DAMG	36	low	FALSE	13132
13132.DMG1906465		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	100	10090	10_11 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_11 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p33	UBERON:feces	UBERON:feces	100	11_10	Mouse_D	carrier	11/7/19	Mus musculus	low	SC	40	MDUPHL_DAMG	40	low	FALSE	13132
13132.DMG1906422		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	0	10090	7_11 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	7_11 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p30	UBERON:feces	UBERON:feces	1100	11_07	Mouse_D	colonised	11/7/19	Mus musculus	undetectable	SC	37	MDUPHL_DAMG	37	intermediate	FALSE	13132
13132.DMG1906427		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	0	10090	7_11 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	7_11 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p30	UBERON:feces	UBERON:feces	0	11_07	Mouse_E	carrier	11/7/19	Mus musculus	undetectable	OG	35	MDUPHL_DAMG	37	undetectable	FALSE	13132
