sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	collection_timestamp	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1905873		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.00E+11	10090	9_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	9_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p1	UBERON:feces	UBERON:feces	1.77E+11	10_09	Mouse_D	colonised		Mus musculus	high	SC	8	MDUPHL_DAMG	8	high	FALSE	13132
13132.DMG1905874		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	3.01E+11	10090	9_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	9_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p1	UBERON:feces	UBERON:feces	1.77E+11	10_09	Mouse_D	colonised		Mus musculus	high	SC	8	MDUPHL_DAMG	8	high	FALSE	13132
13132.DMG1905875		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	30900000000	10090	9_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	9_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p1	UBERON:feces	UBERON:feces	1.77E+11	10_09	Mouse_D	colonised		Mus musculus	high	SC	8	MDUPHL_DAMG	8	high	FALSE	13132
13132.DMG1905883		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	37366666667	10090	10_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	6.95E+11	10_10	Mouse_A	colonised		Mus musculus	high	SC	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905884		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	3.55E+11	10090	10_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	6.95E+11	10_10	Mouse_A	colonised		Mus musculus	high	SC	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905885		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	689500000	10090	10_10 B1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 B1	adult	Mouse_B1	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	4.91E+11	10_10	Mouse_B	colonised		Mus musculus	intermediate	SC	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905886		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	67700000000	10090	10_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	4.91E+11	10_10	Mouse_B	colonised		Mus musculus	high	SC	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905887		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	1.41E+12	10090	10_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	4.91E+11	10_10	Mouse_B	colonised		Mus musculus	high	SC	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905894		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	17600000000	10090	10_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	1.42E+11	10_10	Mouse_E	colonised		Mus musculus	high	OG	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905895		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	2.29E+11	10090	10_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	1.42E+11	10_10	Mouse_E	colonised		Mus musculus	high	OG	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905896		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	1.81E+11	10090	10_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	1.42E+11	10_10	Mouse_E	colonised		Mus musculus	high	OG	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1905909		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	5.23E+11	10090	11_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	2.26E+12	10_11	Mouse_D	colonised		Mus musculus	high	SC	10	MDUPHL_DAMG	10	high	FALSE	13132
13132.DMG1905910		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	4.48E+12	10090	11_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	2.26E+12	10_11	Mouse_D	colonised		Mus musculus	high	SC	10	MDUPHL_DAMG	10	high	FALSE	13132
13132.DMG1905911		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.77E+12	10090	11_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	2.26E+12	10_11	Mouse_D	colonised		Mus musculus	high	SC	10	MDUPHL_DAMG	10	high	FALSE	13132
13132.DMG1905912		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	1.52E+12	10090	11_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	8.79E+11	10_11	Mouse_E	colonised		Mus musculus	high	OG	10	MDUPHL_DAMG	10	high	FALSE	13132
13132.DMG1905913		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	4.60E+11	10090	11_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	8.79E+11	10_11	Mouse_E	colonised		Mus musculus	high	OG	10	MDUPHL_DAMG	10	high	FALSE	13132
13132.DMG1905914		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	6.54E+11	10090	11_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	8.79E+11	10_11	Mouse_E	colonised		Mus musculus	high	OG	10	MDUPHL_DAMG	10	high	FALSE	13132
13132.DMG1905918		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	2.24E+11	10090	12_10 A1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 A1	adult	Mouse_A1	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	2.11E+11	10_12	Mouse_A	colonised		Mus musculus	high	SC	11	MDUPHL_DAMG	11	high	FALSE	13132
